layer,position,log_prob_delta,ex_idx
31,s1_in_r2,0.0,0
31,o3_in_r2,0.0,0
31,s2_in_r2,0.0,0
31,o4_in_r2,0.0,0
31,s1_in_cue,0.0,0
31,o1_in_cue,0.0,0
31,s2_in_cue,0.0,0
31,analogy_site,0.0,0
32,s1_in_r1,0.0,0
32,o1_in_r1,0.0,0
32,s2_in_r1,0.0,0
32,o2_in_r1,0.0,0
32,s1_in_r2,0.0,0
32,o3_in_r2,0.0,0
32,s2_in_r2,0.0,0
32,o4_in_r2,0.0,0
32,s1_in_cue,0.0,0
32,o1_in_cue,0.0,0
32,s2_in_cue,0.0,0
32,analogy_site,0.0,0
33,s1_in_r1,0.0,0
33,o1_in_r1,0.0,0
33,s2_in_r1,0.0,0
33,o2_in_r1,0.0,0
33,s1_in_r2,0.0,0
33,o3_in_r2,0.0,0
33,s2_in_r2,0.0,0
33,o4_in_r2,0.0,0
33,s1_in_cue,0.0,0
33,o1_in_cue,0.0,0
33,s2_in_cue,0.0,0
33,analogy_site,0.0,0
34,s1_in_r1,0.0,0
34,o1_in_r1,0.0,0
34,s2_in_r1,0.0,0
34,o2_in_r1,0.0,0
34,s1_in_r2,0.0,0
34,o3_in_r2,0.0,0
34,s2_in_r2,0.0,0
34,o4_in_r2,0.0,0
34,s1_in_cue,0.0,0
34,o1_in_cue,0.0,0
34,s2_in_cue,0.0,0
34,analogy_site,0.0,0
35,s1_in_r1,0.0,0
35,o1_in_r1,0.0,0
35,s2_in_r1,0.0,0
35,o2_in_r1,0.0,0
35,s1_in_r2,0.0,0
35,o3_in_r2,0.0,0
35,s2_in_r2,0.0,0
35,o4_in_r2,0.0,0
35,s1_in_cue,0.0,0
35,o1_in_cue,0.0,0
35,s2_in_cue,0.0,0
35,analogy_site,0.0,0
36,s1_in_r1,0.0,0
36,o1_in_r1,0.0,0
36,s2_in_r1,0.0,0
36,o2_in_r1,0.0,0
36,s1_in_r2,0.0,0
36,o3_in_r2,0.0,0
36,s2_in_r2,0.0,0
36,o4_in_r2,0.0,0
36,s1_in_cue,0.0,0
36,o1_in_cue,0.0,0
36,s2_in_cue,0.0,0
36,analogy_site,0.0,0
37,s1_in_r1,0.0,0
37,o1_in_r1,0.0,0
37,s2_in_r1,0.0,0
37,o2_in_r1,0.0,0
37,s1_in_r2,0.0,0
37,o3_in_r2,0.0,0
37,s2_in_r2,0.0,0
37,o4_in_r2,0.0,0
37,s1_in_cue,0.0,0
37,o1_in_cue,0.0,0
37,s2_in_cue,0.0,0
37,analogy_site,0.0,0
38,s1_in_r1,0.0,0
